genus,base of range (Ma),top of range (Ma),collections,with abundances,geometric mean abundance
Aciprion,37.2,33.3,4,3,0.63
Acirsa,66,23.03,18,6,0.0013
Acirsella,58.7,48.6,5,0,NaN
Acktinocyclina,38,33.9,1,0,NaN
Acleistochelys,66,56,1,0,NaN
Aclerogamasus,47.8,41.3,1,1,0.0006
Aclis,66,23.03,9,1,0.0001
Aclistomycter,40.4,33.9,5,0,NaN
Acmaea,66,23.03,24,8,0.0011
Acmaeodera,37.2,33.9,2,2,0.0087
Acmeodon,63.3,56.8,22,0,NaN
Acnemia,47.8,34,3,3,0.0048
Acocephalus,47.8,33.9,3,3,0.0017
Acolaspoides,56,47.8,1,1,0.0022
Acotherulum,41.3,28.4,13,3,0.0461
Acourtia,34,34,1,1,0.0063
Acra,33.9,28.1,1,1,0.0016
Acrilloscala,47.8,41.3,1,0,NaN
Acritoparamys,56.8,48.6,53,16,0.0203
Acrobrochus,27.3,25.2,5,5,0.0113
Acrocoelum,66,38,13,10,0.0101
Acrodus,59.2,56,1,0,NaN
Acrometa,47.8,41.3,23,23,0.0093
Acropiesta,47.8,41.3,1,1,0.0013
Acropoma,61.6,59.2,3,3,0.005
Acropomatidarum,61.6,59.2,1,1,0.015
Acropora,59.2,23.03,76,3,0.0192
Acrosmilia,66,28.1,21,1,0.0112
Acrosqualiolus,47.8,38,1,0,NaN
Acrostemma,56,47.8,1,0,NaN
Acrostichum,56,33.9,22,1,0.2
Acrovena,55.8,50.3,1,1,0.0008
Acrydium,47.8,23.03,3,3,0.0267
Actaeites,56,33.9,2,0,NaN
Actaeon,61.6,59.2,5,5,0.0016
Actaeonema,41.3,38,2,0,NaN
Actaeonidea,61.6,59.2,2,0,NaN
Actaeopyramis,61.6,59.2,2,2,0.0003
Acteaon,61.6,59.2,1,0,NaN
Acteocina,66,28.1,47,31,0.0034
Acteon,66,23.03,160,67,0.0018
Acteonidea,37.2,33.9,1,0,NaN
Actinacis,66,23.03,115,8,0.016
Actinastrea,66,37.2,7,2,0.0026
Actinidia,48.6,23.03,15,1,0.0019
Actinocerites,55.8,48.6,1,1,0.0119
Actinocyclina,56,33.9,2,0,NaN
Actinocythereis,41.3,23.03,10,1,0.0013
Actinodaphne,33.9,23.03,1,0,NaN
Actinodonta,58.7,56,31,3,0.008
Actinometra,28.1,23.03,1,0,NaN
Actinoporella,47.8,41.3,1,0,NaN
Actinoptychus,66,56,12,0,NaN
Actinosiphon,58.7,55.8,1,0,NaN
Actumnus,28.4,23.03,1,0,NaN
Acuticosta,58.7,55.8,1,1,0.0833
Acuticythereis,38,33.9,5,0,NaN
Acutiforcipia,47.8,41.3,6,6,0.056
Acutostrea,66,23.03,8,2,0.2598
Acylophorus,37.2,33.9,1,1,0.0004
Adalia,37.2,33.9,2,2,0.0012
Adamsochrysa,51.77,49.43,5,5,0.0773
Adansonella,66,61.6,1,1,0.0021
Adapidium,48.6,37.2,1,0,NaN
Adapis,41.3,33.9,18,6,0.0723
Adapisorex,61.6,56,3,1,1
Adapisoriculus,66,48.6,4,0,NaN
Adapoides,48.6,37.2,1,0,NaN
Adegokeastrea,66,56,1,0,NaN
Adela,47.8,41.3,2,2,0.0135
Adelges,47.8,41.3,1,1,0.0006
Adelites,47.8,41.3,4,4,0.0119
Adelocera,59.2,46.2,2,2,0.0928
Adelomyarion,28.1,23.03,9,0,NaN
Adelomys,41.3,33.9,7,4,0.0588
Adelopneustes,66,56,5,0,NaN
Adelopsyche,37.2,33.9,1,1,0.0037
Adelpharctos,33.9,28.4,1,0,NaN
Adelphomyia,47.8,34,3,3,0.0009
Adeonellopsis,55.8,23.03,20,2,0.0008
Adeorbis,58.7,33.9,16,1,0.0029
Adiantum,47.8,41.3,2,0,NaN
Adicophasma,47.8,41.3,2,2,0.0725
Adjidaumo,40.4,30.8,66,4,0.0211
Adjutor,47.8,41.3,2,2,0.0107
Admete,61.6,28.1,6,1,0.0004
Admetula,66,48.6,10,7,0.0051
Admissor,47.8,41.3,1,1,0.0041
Adocetus,50.3,46.2,1,1,1
Adocus,66,23.03,6,2,0.1204
Adolomys,55.8,48.6,1,0,NaN
Adorator,47.8,41.3,7,7,0.0017
Adrana,56,23.03,9,2,0.0297
Adsumyia,47.8,41.3,1,1,0.0031
Adula,41.3,38,2,0,NaN
Adunator,63.3,56.8,9,0,NaN
Advenimus,48.6,47.8,2,0,NaN
Aechmella,66,61.6,4,2,0.0307
Aedes,47.8,34,6,6,0.0117
Aegialia,50.3,46.2,1,1,0.0139
Aegialornis,41.3,38,2,2,0.0026
Aegyptocetus,41.3,38,1,1,1
Aegyptopithecus,33.9,28.1,2,0,NaN
Aeila,47.8,41.3,1,1,0.0317
Aelurictis,33.9,28.4,1,0,NaN
Aemula,66,61.6,4,0,NaN
Aeneator,48.6,23.03,8,0,NaN
Aenictosoma,47.8,41.3,1,1,0.0159
Aenigmathyris,37.2,33.9,1,1,0.4737
Aenigmatistes,66,47.8,1,1,0.2
Aeoliscus,33.9,28.1,3,0,NaN
Aeolothrips,47.8,28.1,5,5,0.0099
Aeora,61.6,61.6,1,1,0.0002
Aepinacodon,40.4,33.3,7,0,NaN
Aequipecten,56,23.03,45,4,0.0339
Aerosphaeridium,56,23.03,1,0,NaN
Aeschnophlebia,34,34,2,2,0.0454
Aesculiidites,56,33.9,2,2,0.0039
Aesculus,58.7,28.4,8,2,0.007
Aeshna,59.2,23.03,10,10,0.0113
Aethalion,28.4,23.03,1,1,0.0018
Aetheapnomyia,47.8,41.3,1,1,0.0042
Aetheia,27.3,25.2,5,5,0.1809
Aethocola,28.4,23.03,3,0,NaN
Aethomylos,50.3,40.4,18,6,0.1152
Aetiocetus,33.9,23.03,10,8,0.7993
Aetobatus,55.8,28.4,34,0,NaN
Aetomylaeus,55.8,50.3,1,0,NaN
Afairiguana,55.8,50.3,1,0,NaN
Aforia,41.3,23.03,4,0,NaN
Afradapis,38,33.9,1,0,NaN
Aframonius,33.9,28.1,1,0,NaN
Afrasia,41.3,38,3,0,NaN
Africarca,47.8,41.3,2,0,NaN
Africoterebellum,47.8,41.3,6,0,NaN
Afrodon,61.6,55.8,14,0,NaN
Afrolimnophila,47.8,41.3,1,1,0.5
Afrollonia,61.6,61.6,4,3,0.0034
Afrotarsius,33.9,28.4,2,0,NaN
Agabus,34,23.03,7,4,0.0022
Agallia,37.2,33.9,5,5,0.0011
Agama,28.1,23.03,2,0,NaN
Agapilia,28.4,23.03,8,0,NaN
Agaricia,28.1,23.03,2,0,NaN
Agaronia,66,23.03,125,77,0.0081
Agasoma,37.2,23.03,22,0,NaN
Agassizia,41.3,28.4,20,3,0.0464
Agatha,48.6,47.8,3,0,NaN
Agathelia,59.2,28.1,2,0,NaN
Agathemera,37.2,33.9,1,1,0.0004
Agathiphyllia,66,23.03,75,11,0.0386
Agathires,37.2,36,1,0,NaN
Agathodonta,37.2,33.9,1,0,NaN
Agatoides,47.8,41.3,1,1,0.0016
Agatrix,33.9,28.1,17,10,0.0038
Agazzizia,48.6,37.2,1,0,NaN
Ageina,55.8,47.8,4,0,NaN
Ageitodendron,50.3,46.2,1,0,NaN
Agelasa,33.9,28.4,1,1,0.0133
Agelena,47.8,41.3,2,2,0.0109
Agenia,37.2,33.9,3,3,0.0367
Agerinia,55.8,41.3,4,0,NaN
Aglaoreidia,58.7,55.8,1,1,0.0204
Aglyptorhynchus,55.8,25.2,8,0,NaN
Agnotocastor,37.2,26.3,18,2,0.0194
Agomphus,66,56,5,4,0.2377
Agonum,59.2,56,1,1,0.0086
Agorophius,33.9,23.03,3,3,1
Agraecia,28.4,23.03,1,1,0.0263
Agraylea,47.8,41.3,9,9,0.0064
Agrenocythere,56,47.8,1,1,0.0029
Agrilus,37.2,23.03,2,2,0.0011
Agriocetus,28.1,23.03,1,0,NaN
Agriochoerus,46.2,26.3,47,5,0.0971
Agrion,47.8,23.03,7,7,0.0016
Agriopoma,37.2,23.03,5,1,0.25
Agriotes,37.2,33.9,2,2,0.0004
Agrobuccinium,66,58.7,1,0,NaN
Agrobuccinum,66,58.7,1,0,NaN
Agroecomyrmex,47.8,41.3,1,1,0.0004
Agromyza,47.8,23.03,4,4,0.0018
Agrypnus,48.6,40.4,7,6,0.014
Agulla,50.3,46.2,1,1,1
Agynetiphantes,47.8,41.3,1,1,0.001
Agyrtes,37.2,33.9,1,1,0.0004
Ailanthus,48.6,23.03,15,0,NaN
Ailuravus,55.8,40.4,7,1,0.6667
Aimulosia,55.8,48.6,1,0,NaN
Ainicardita,33.9,23.03,5,0,NaN
Ainigmapsychops,49.43,49.43,1,1,0.0909
Ainus,56,33.9,1,0,NaN
Aiora,37.2,28.4,1,0,NaN
Aiuruocatermes,33.9,28.1,1,1,1
Aixaphis,28.1,23.03,1,1,0.04
Ajunginucilla,55.8,48.6,1,0,NaN
Akania,66,52.22,8,8,0.0087
Akanthosuchus,66,61.7,3,0,NaN
Akatopora,59.2,47.8,1,0,NaN
Akera,66,28.4,14,2,0.0018
Akhnatenavus,33.9,28.1,1,0,NaN
Aktaua,48.6,37.2,1,0,NaN
Aktinocyclina,48.6,37.2,1,0,NaN
Aktiogavialis,33.9,23.03,1,0,NaN
Akulosamphus,33.9,28.4,1,0,NaN
Alaba,61.6,28.4,25,21,0.0033
Alabamina,48.6,23.03,6,0,NaN
Alabina,33.9,28.1,1,0,NaN
Alagomys,56.8,48.6,2,1,0.0348
Alamitophis,56,48.6,1,1,0.2593
Alamosemys,63.3,61.7,1,1,1
Alangium,48.6,,7,2,0.0018
Alaria,66,61.6,2,0,NaN
Alaripeda,37.2,33.9,1,1,1
Alastor,28.4,23.03,1,1,0.0009
Alatocythereis,28.4,23.03,1,0,NaN
Alatospermum,56,47.8,1,0,NaN
Albanerpeton,61.7,23.03,5,0,NaN
Albertanella,56.8,55.8,1,0,NaN
Albertipollenites,55.8,48.6,1,1,0.0039
Albertocetus,28.1,23.03,1,1,0.5
Albertogaudrya,56,33.9,3,0,NaN
Albertoilus,61.7,56.8,2,2,0.1111
Albionbatrachus,37.2,33.9,1,1,0.004
Albula,61.6,33.9,5,2,0.023
Albulidarum,61.6,59.2,1,1,0.0602
Albunea,33.9,28.4,1,0,NaN
Alchornea,50.3,23.03,12,0,NaN
Alcidedorbignya,66,61.7,2,0,NaN
Alcithoe,56,23.03,7,0,NaN
Alderina,55.8,33.9,4,0,NaN
Aldingia,37.2,33.9,24,5,0.1242
Aldrovanda,38,23.03,14,0,NaN
Aldwickia,56,47.8,2,0,NaN
Alectryonia,48.6,33.9,30,13,0.0707
Aleochara,47.8,41.3,1,1,0.0095
Aleocharopsis,37.2,33.9,2,2,0.0053
Alepidophora,37.2,28.1,4,4,0.0121
Aletodon,58.7,55.8,29,2,0.0017
Aletornis,48.6,46.2,5,2,0.25
Aleurites,55.8,40.4,4,1,0.0083
Algeripithecus,56,41.3,4,0,NaN
Alicodoxa,47.8,41.3,1,1,0.0011
Aliculastrum,66,23.03,5,1,0.04
Aliquantula,38,28.1,8,3,0.0818
Alisma,47.8,23.03,2,0,NaN
Alismaphyllites,66,56,5,0,NaN
Alisporites,66,56,1,1,0.0063
Allacerops,33.9,23.03,2,0,NaN
Allacma,47.8,41.3,8,7,0.0013
Allacrotelsa,47.8,41.3,8,3,0.0004
Allactoneura,33.9,28.4,1,1,0.0018
Allaeochelys,48.6,41.3,5,0,NaN
Allantodiopsis,56.8,33.9,41,6,0.014
Allantoidiopsis,56.8,50.3,37,9,0.0206
Allantopora,66,61.6,1,1,0.0205
Allarithmia,47.8,41.3,1,1,0.0009
Allenbya,48.6,37.2,1,0,NaN
Alligator,66,33.9,14,0,NaN
Alloaeschna,61.7,56.8,5,5,0.1726
Allocalisius,47.8,41.3,2,2,0.0115
Allocosmodon,61.7,56.8,1,0,NaN
Allocricetodon,28.4,23.03,2,0,NaN
Allocyon,33.3,30.8,1,0,NaN
Allodelphis,28.1,23.03,1,1,0.125
Allodesmus,28.1,23.03,1,1,0.125
Allodia,47.8,23.03,15,14,0.0006
Allognathosuchus,66,41.3,125,7,0.2288
Allomorone,41.3,23.03,10,2,0.0006
Allomorphina,66,47.8,3,2,0.0046
Allomys,33.3,26.3,2,0,NaN
Allophylus,52.22,33.9,16,7,0.015
Allopleuron,59.2,38,2,1,1
Allopterites,47.8,41.3,1,1,0.0385
Allorapisma,49.43,49.43,2,2,0.0615
Allothrombium,47.8,41.3,1,0,NaN
Allotrichia,47.8,41.3,8,8,0.0021
Allqokirus,66,61.7,1,0,NaN
Alluaudomyia,47.8,41.3,4,4,0.0046
Almolinus,47.8,41.3,2,2,0.0081
Alnipollenites,48.6,40.4,22,19,0.0044
Alnus,56.8,23.03,174,40,0.0611
Alocaxis,58.7,55.8,1,1,0.0091
Alocopocythere,56,41.3,5,0,NaN
Alomatia,34,34,1,1,0.0057
Alopecias,38,33.9,1,0,NaN
Alopias,48.6,23.03,19,1,0.0014
Alopiopsis,47.8,41.3,1,0,NaN
Alopocosmodon,63.3,61.7,1,0,NaN
Alosa,33.9,28.1,2,0,NaN
Alphadon,66,48.6,3,0,NaN
Alpheus,66,23.03,5,0,NaN
Altanius,55.8,48.6,1,0,NaN
Altaspiratella,55.8,48.6,3,3,0.0009
Altiatlasius,59.2,56,2,0,NaN
Altica,59.2,28.4,4,4,0.0076
Alticonus,66,63.3,3,1,0.0714
Altilambda,61.7,58.7,2,0,NaN
Altrix,47.8,38,5,0,NaN
Alvania,66,23.03,55,22,0.0013
Alveinus,55.8,33.9,40,32,0.0695
Alveojunctus,55.8,46.2,2,0,NaN
Alveolina,58.7,28.4,37,0,NaN
Alveopora,59.2,23.03,46,6,0.032
Alveugena,66,63.3,2,1,0.2143
Alwoodia,30.8,24.8,8,2,0.0964
Alydus,28.4,23.03,1,1,0.0526
Alysia,37.2,23.03,6,6,0.0048
Amaea,55.8,28.1,15,5,0.0021
Amagua,28.1,23.03,1,1,0.5
Amalaberga,48.6,40.4,1,1,0.0068
Amalda,55.8,28.1,39,8,0.0463
Amalthea,37.2,33.9,1,0,NaN
Amar,58.7,55.8,1,0,NaN
Amara,51.5,28.4,16,14,0.005
Amaramnis,55.8,50.3,2,0,NaN
Amartus,37.2,33.9,2,2,0.0087
Amaura,66,23.03,2,0,NaN
Amaurellina,66,23.03,31,6,0.0029
Amaurobius,47.8,41.3,2,2,0.0021
Amauropilio,37.2,33.9,2,2,0.0045
Amauropsella,61.6,47.8,6,6,0.0085
Amauropsina,48.6,37.2,1,0,NaN
Amauropsis,66,23.03,25,0,NaN
Amauropsona,61.6,56,2,0,NaN
Amaurospina,58.7,38,4,1,0.0059
Amberaspinus,55.8,48.6,1,1,0.0119
Ambercylapus,47.8,41.3,1,1,0.0006
Ambericarda,47.8,41.3,1,1,0.0095
Amberofulvius,47.8,41.3,1,1,0.0238
Ambigostrea,66,61.6,1,0,NaN
Ambipleurus,41.3,38,1,0,NaN
Ambloctonus,55.8,50.3,7,0,NaN
Amblycorypha,34,34,1,1,0.0057
Amblyochara,58.7,48.6,1,0,NaN
Amblypygus,55.8,33.9,6,2,0.0135
Amblyteles,37.2,33.9,1,1,0.0135
Ambocylapus,47.8,41.3,1,1,0.0006
Ambocythere,33.9,28.4,6,0,NaN
Ambopemphigus,47.8,41.3,1,1,0.0006
Ambraaltica,48.6,37.2,1,1,0.25
Ambulocetus,47.8,41.3,3,2,0.4677
Ambystoma,37.2,33.9,1,1,0.0057
Amechanites,47.8,41.3,1,1,0.0083
Amekicythara,56,33.9,3,2,0.011
Amelanchier,37.2,28.4,8,3,0.0029
Amelanchites,66,56,5,0,NaN
Ameletus,47.8,41.3,1,1,0.0095
Amelotabes,61.7,56.8,1,0,NaN
Amentoplexipollenites,33.9,23.03,1,0,NaN
Amentotaxus,66,56,2,0,NaN
Ameranella,38,33.9,3,0,NaN
Americardia,47.8,28.1,6,3,0.0103
Amersinia,66,63.3,6,5,0.0435
Amesoneuron,66,63.3,5,5,0.1633
Amgupteryx,28.1,23.03,1,1,1
Amia,66,33.9,34,0,NaN
Amiantis,37.2,23.03,30,1,0.0357
Amictites,47.8,41.3,1,1,0.012
Amilenus,47.8,41.3,1,1,0.0028
Amitabha,50.3,46.2,1,0,NaN
Ammannia,56,47.8,1,0,NaN
Ammoanita,58.7,55.8,1,0,NaN
Ammobaculites,55.8,23.03,19,1,0.375
Ammodiscus,59.2,28.1,24,11,0.0105
Ammodochium,66,56,2,0,NaN
Ammodytes,33.9,28.1,1,0,NaN
Ammomarginulina,37.2,33.9,1,0,NaN
Ammonia,38,23.03,6,0,NaN
Ammophila,37.2,33.9,1,0,NaN
Amonia,33.9,28.1,4,4,0.0147
Amorphothrips,47.8,41.3,1,1,0.0001
Amotapas,41.3,38,2,0,NaN
Amotapus,55.8,33.9,7,1,0.0645
Ampelocissus,48.6,28.4,4,3,0.0111
Ampelopsis,66,23.03,138,19,0.0285
Ampharthropelma,47.8,41.3,1,1,0.0013
Amphechinus,26.3,24.8,12,3,0.0457
Ampheristus,61.6,47.8,2,1,0.0226
Amphiblestrella,66,61.6,1,0,NaN
Amphiblestrum,66,28.1,2,0,NaN
Amphibolus,48.6,40.4,1,1,0.0068
Amphibrachium,66,61.6,6,1,0.0033
Amphicaenopus,33.3,30.8,2,0,NaN
Amphicerus,37.2,33.9,1,1,0.0004
Amphiclotho,28.1,23.03,1,1,0.006
Amphicosmus,37.2,33.9,1,1,0.0667
Amphicraspedum,59.2,41.3,8,0,NaN
Amphicticeps,33.9,28.4,3,1,1
Amphictis,33.9,23.03,2,0,NaN
Amphicynodon,33.9,28.4,7,0,NaN
Amphicyrta,37.2,33.9,2,2,0.0014
Amphidolops,56,33.9,2,0,NaN
Amphidozotherium,38,28.4,2,1,1
Amphidromus,41.3,38,1,0,NaN
Amphientomum,56,41.3,10,10,0.0072
Amphigyion,55.8,48.6,1,0,NaN
Amphilagus,28.4,23.03,1,0,NaN
Amphilemur,47.8,37.2,3,0,NaN
Amphimeryx,38,28.4,15,5,0.2053
Amphimorphina,48.6,37.2,1,0,NaN
Amphiope,33.9,23.03,2,0,NaN
Amphioplus,33.9,23.03,1,1,1
Amphioppe,33.9,28.4,1,0,NaN
Amphiperatherium,55.8,23.03,47,6,0.044
Amphiperca,47.8,41.3,7,0,NaN
Amphiplaga,55.8,50.3,1,1,0.0032
Amphipternis,66,59.2,33,30,0.0104
Amphipyndax,66,59.2,60,55,0.0372
Amphirhagatherium,37.2,33.9,3,0,NaN
Amphiroa,59.2,28.1,18,0,NaN
Amphisphaera,66,55.8,119,97,0.0374
Amphistegina,47.8,23.03,26,0,NaN
Amphitalamus,28.1,23.03,3,0,NaN
Amphithomisus,28.1,23.03,1,1,0.006
Amphitragulus,56,23.03,4,0,NaN
Amphitrogulus,28.1,23.03,1,1,0.006
Amphiuma,61.7,56.8,1,0,NaN
Amphorometra,56,47.8,1,0,NaN
Amphotis,33.9,28.4,1,1,0.0018
Amphymenium,66,59.2,26,25,0.0098
Ampliconus,66,63.3,3,2,0.101
Ampulicomorpha,47.8,41.3,3,3,0.001
Ampulina,56,33.9,1,0,NaN
Ampullella,37.2,33.9,5,0,NaN
Ampullina,66,23.03,149,29,0.0195
Ampullinopsis,48.6,23.03,57,15,0.0019
Ampullonatica,47.8,28.4,3,0,NaN
Ampulonatica,47.8,41.3,1,0,NaN
Ampulospira,48.6,37.2,1,0,NaN
Amuletum,66,47.8,17,14,0.0112
Amusium,55.8,23.03,40,15,0.0665
Amussiopecten,33.9,23.03,27,0,NaN
Amyda,56.8,40.4,13,8,0.1597
Amydrocarcinus,56,33.9,2,0,NaN
Amygdalum,55.8,23.03,7,0,NaN
Amylodon,47.8,41.3,1,0,NaN
Amynodon,46.2,23.03,56,3,0.0432
Amynodontopsis,46.2,37.2,14,5,0.2343
Amyzon,33.9,23.03,1,0,NaN
Anabrus,37.2,33.9,1,1,0.0037
Anacanthobracon,47.8,41.3,1,1,0.0023
Anacardites,46.2,33.9,2,1,0.0904
Anacardium,33.9,28.4,2,1,0.375
Anaclileia,47.8,41.3,4,4,0.0002
Anaclinia,50.3,46.2,1,1,0.0345
Anacodon,61.7,50.3,31,13,0.0323
Anadara,66,23.03,74,25,0.2788
Anagroidea,47.8,41.3,1,1,0.0013
Analetris,47.8,41.3,1,1,0.0031
Anameta,47.8,41.3,2,2,0.0034
Anamirta,55.8,37.2,5,4,0.0119
Anandrus,47.8,41.3,4,4,0.0032
Anapepta,28.4,23.03,2,2,0.0216
Anaphes,47.8,41.3,4,4,0.0052
Anaphothrips,47.8,41.3,14,14,0.0056
Anapteris,55.8,41.3,6,4,0.0127
Anaptomorphus,50.3,46.2,25,10,0.0767
Anas,28.4,23.03,1,0,NaN
Anasa,37.2,33.9,1,1,0.0004
Anasazia,63.3,61.7,1,0,NaN
Anaspis,47.8,41.3,3,3,0.003
Anatella,50.3,46.2,1,1,0.0139
Anatis,37.2,33.9,1,1,0.0053
Anatolikos,48.6,37.2,1,0,NaN
Anatoma,55.8,33.9,5,0,NaN
Anatone,47.8,41.3,2,2,0.0016
Anaulus,66,56,12,1,0.0426
Anaxypristis,47.8,41.3,1,0,NaN
Anazola,48.6,23.03,3,0,NaN
Ancalecetus,38,33.9,1,1,1
Anceus,66,23.03,1,0,NaN
Anchastus,37.2,33.9,2,2,0.0004
Anchichanna,47.8,41.3,1,1,0.1739
Anchilestes,58.7,55.8,1,0,NaN
Anchilophus,41.3,33.9,22,3,0.0154
Anchinvolvulus,47.8,41.3,1,1,0.0013
Anchippodus,48.6,37.2,1,0,NaN
Anchippus,28.1,24.8,2,0,NaN
Anchitherium,28.1,23.03,1,0,NaN
Anchomenus,33.9,28.4,2,2,0.0049
Anchomomys,47.8,28.1,12,6,0.0797
Anchura,66,61.7,4,0,NaN
Ancilla,61.7,23.03,162,58,0.0041
Ancillaria,47.8,33.9,4,0,NaN
Ancillarina,61.6,38,4,0,NaN
Ancistrobasis,37.2,33.9,1,0,NaN
Ancistrocerus,59.2,56,2,2,0.0086
Ancistrolepis,41.3,23.03,3,0,NaN
Ancodon,33.9,28.1,3,0,NaN
Anconatus,37.2,33.9,2,2,0.0006
Anconia,48.6,23.03,2,0,NaN
Anconodon,63.3,56.8,30,1,0.0185
Ancyrona,48.6,40.4,1,1,0.0179
Andicula,66,37.2,2,0,NaN
Andinodelphys,66,61.7,1,0,NaN
Andinodus,66,61.7,1,0,NaN
Andrena,47.8,23.03,8,5,0.0034
Andrenopteryx,37.2,33.9,1,1,0.1111
Andrewsiphius,56,41.3,14,5,0.2313
Andrias,28.4,23.03,1,0,NaN
Andricus,34,34,2,2,0.001
Androglandula,48.6,33.9,1,0,NaN
Andromedeae,38,33.9,1,0,NaN
Anebocythereis,37.2,33.9,1,1,0.0474
Anechelum,33.9,28.1,1,0,NaN
Anelaphus,37.2,33.9,1,1,0.0004
Anemia,66,41.3,22,0,NaN
Anemorhysis,55.8,46.2,14,0,NaN
Anenchelum,33.9,23.03,1,0,NaN
Anepeira,47.8,41.3,1,1,0.001
Anepsiomyia,47.8,41.3,1,1,0.0002
Aneura,56,47.8,1,1,0.1071
Aneuretellus,47.8,41.3,1,1,0.0263
Aneurhynchus,34,34,1,1,0.0027
Aneurobaeus,47.8,41.3,1,1,0.0023
Aneurus,47.8,41.3,3,3,0.0183
Aneurystoma,61.6,59.2,1,0,NaN
Anevrina,66,41.3,3,3,0.0805
Angaria,66,23.03,37,17,0.0103
Angiospermeae,56.8,55.8,31,0,NaN
Angistoma,33.9,23.03,3,1,0.0009
Angitia,28.4,23.03,1,1,0.0009
Anglogomphaeschna,34,34,3,3,0.0075
Anglohypolestes,34,34,1,1,0.0062
Angloprotoneura,34,34,1,1,0.0062
Angoispermeae,56.8,55.8,1,0,NaN
Angoumeius,47.8,41.3,3,0,NaN
Anguillidarum,61.6,59.2,2,2,0.0008
Anguillula,47.8,41.3,2,0,NaN
Anguis,55.8,23.03,4,2,0.0168
Angulithes,56,47.8,1,0,NaN
Angulodiscorbis,55.8,37.2,1,0,NaN
Angulogerina,55.8,23.03,6,0,NaN
Angulus,61.6,23.03,67,21,0.0079
Angustachilus,47.8,41.3,1,1,0.0278
Anhuichelys,58.7,55.8,3,0,NaN
